SPECIES,STRAIN,PHYLUM,LOCUS
Fusarium_solani,A01_1,Sordariomycetes,A01.1
Fusarium_falciforme,A01_2,Sordariomycetes,A01.2
Fusarium_odoratissimum,CF115,Sordariomycetes,CF115
Fusarium_oxysporum,CF132,Sordariomycetes,CF132
Fusarium_stilboides,CF136,Sordariomycetes,CF136
Fusarium_irregulare,CF137,Sordariomycetes,CF137
Fusarium_falciforme,A02,Sordariomycetes,A02
Fusarium_falciforme,A04,Sordariomycetes,A04
Fusarium_odoratissimum,CF141,Sordariomycetes,CF141
Fusarium_irregulare,CF143,Sordariomycetes,CF143
Fusarium_odoratissimum,CF144,Sordariomycetes,CF144
Fusarium_odoratissimum,CF145,Sordariomycetes,CF145
Fusarium_odoratissimum,CF160,Sordariomycetes,CF160
Fusarium_odoratissimum,CF161,Sordariomycetes,CF161
Fusarium_odoratissimum,CF165,Sordariomycetes,CF165
Fusarium_irregulare,CF095,Sordariomycetes,CF095
Fusarium_oxysporum,CF159,Sordariomycetes,CF159
Fusarium_falciforme,CF175,Sordariomycetes,CF175
