SPECIESSTRAIN,PHYLUM,FUNGI
Fusarium_solani_A01-1,Sordariomycetes,Ascomycota
Fusarium_falciforme_A01-2,Sordariomycetes,Ascomycota
Fusarium_oxysporum_CF115,Sordariomycetes,Ascomycota
Fusarium_oxysporum_CF132,Sordariomycetes,Ascomycota
Fusarium_torreyae_CF136,Sordariomycetes,Ascomycota
Fusarium_irregulare_CF137,Sordariomycetes,Ascomycota
Fusarium_falciforme_A02,Sordariomycetes,Ascomycota
Fusarium_falciforme_A04,Sordariomycetes,Ascomycota
Fusarium_oxysporum_CF141,Sordariomycetes,Ascomycota
Fusarium_irregulare_CF143,Sordariomycetes,Ascomycota
Fusarium_oxysporum_CF144,Sordariomycetes,Ascomycota
Fusarium_oxysporum_CF145,Sordariomycetes,Ascomycota
Fusarium_oxysporum_CF160,Sordariomycetes,Ascomycota
Fusarium_oxysporum_CF161,Sordariomycetes,Ascomycota
Fusarium_oxysporum_CF165,Sordariomycetes,Ascomycota
Fusarium_incarnatum-equiseti_CF095,Sordariomycetes,Ascomycota
Fusarium_oxysporum_CF159,Sordariomycetes,Ascomycota
Fusarium_falciforme_CF175,Sordariomycetes,Ascomycota
