TREE	ALN	ALNLEN	mean_BSS	median_BSS	evoRate
49377at147550.cds.clipkit.FT.tre	49377at147550.cds.clipkit	7494	0.932	0.932	0.2712
49198at147550.cds.clipkit.FT.tre	49198at147550.cds.clipkit	6312	0.8784	0.8784	0.1296
69050at147550.cds.clipkit.FT.tre	69050at147550.cds.clipkit	8427	0.8746	0.8746	0.2044
1031at147550.cds.clipkit.FT.tre	1031at147550.cds.clipkit	16416	0.9062	0.9062	0.115
20463at147550.cds.clipkit.FT.tre	20463at147550.cds.clipkit	10407	0.9192	0.9192	0.1624
12110at147550.cds.clipkit.FT.tre	12110at147550.cds.clipkit	5916	0.9016	0.9016	0.1425
1699at147550.cds.clipkit.FT.tre	1699at147550.cds.clipkit	8961	0.9186	0.9186	0.1217
90412at147550.cds.clipkit.FT.tre	90412at147550.cds.clipkit	5361	0.9018	0.9018	0.1279
30753at147550.cds.clipkit.FT.tre	30753at147550.cds.clipkit	5799	0.8767	0.8767	0.1912
20101at147550.cds.clipkit.FT.tre	20101at147550.cds.clipkit	6741	0.8636	0.8636	0.1073
1304at147550.cds.clipkit.FT.tre	1304at147550.cds.clipkit	7524	0.9311	0.9311	0.162
10370at147550.cds.clipkit.FT.tre	10370at147550.cds.clipkit	10047	0.9275	0.9275	0.1147
43948at147550.cds.clipkit.FT.tre	43948at147550.cds.clipkit	6588	0.9312	0.9312	0.5165
33813at147550.cds.clipkit.FT.tre	33813at147550.cds.clipkit	8448	0.895	0.895	0.2073
17584at147550.cds.clipkit.FT.tre	17584at147550.cds.clipkit	5652	0.8972	0.8972	0.1068
58896at147550.cds.clipkit.FT.tre	58896at147550.cds.clipkit	5700	0.8651	0.8651	0.1737
11200at147550.cds.clipkit.FT.tre	11200at147550.cds.clipkit	5880	0.9083	0.9083	0.1277
9321at147550.cds.clipkit.FT.tre	9321at147550.cds.clipkit	6384	0.916	0.916	0.1427
4372at147550.cds.clipkit.FT.tre	4372at147550.cds.clipkit	6588	0.894	0.894	0.1292
40555at147550.cds.clipkit.FT.tre	40555at147550.cds.clipkit	8397	0.9113	0.9113	0.1982
6124at147550.cds.clipkit.FT.tre	6124at147550.cds.clipkit	11463	0.9163	0.9163	0.1573
37141at147550.cds.clipkit.FT.tre	37141at147550.cds.clipkit	6174	0.8784	0.8784	0.1713
7122at147550.cds.clipkit.FT.tre	7122at147550.cds.clipkit	11934	0.9115	0.9115	0.1541
36555at147550.cds.clipkit.FT.tre	36555at147550.cds.clipkit	8322	0.8963	0.8963	0.1542
40002at147550.cds.clipkit.FT.tre	40002at147550.cds.clipkit	7509	0.906	0.906	0.1231
29329at147550.cds.clipkit.FT.tre	29329at147550.cds.clipkit	6849	0.8718	0.8718	0.21560000000000001
3672at147550.cds.clipkit.FT.tre	3672at147550.cds.clipkit	8118	0.9315	0.9315	0.1527
28606at147550.cds.clipkit.FT.tre	28606at147550.cds.clipkit	6909	0.8312	0.8312	0.1398
