TREE	ALN	ALNLEN	mean_BSS	median_BSS	evoRate
56408at147550.aa.clipkit.FT.tre	56408at147550.aa.clipkit	672	0.6811	0.6811	0.0433
7138at147550.aa.clipkit.FT.tre	7138at147550.aa.clipkit	1469	0.7813	0.7813	0.0191
108600at147550.aa.clipkit.FT.tre	108600at147550.aa.clipkit	247	0.6792	0.6792	0.031
88198at147550.aa.clipkit.FT.tre	88198at147550.aa.clipkit	219	0.6311	0.6311	0.0296
109773at147550.aa.clipkit.FT.tre	109773at147550.aa.clipkit	78	0.7881	0.7881	0.0151
71861at147550.aa.clipkit.FT.tre	71861at147550.aa.clipkit	600	0.7488	0.7488	0.5156
91327at147550.aa.clipkit.FT.tre	91327at147550.aa.clipkit	268	0.696	0.696	0.0821
103358at147550.aa.clipkit.FT.tre	103358at147550.aa.clipkit	215	0.5986	0.5986	0.0261
74757at147550.aa.clipkit.FT.tre	74757at147550.aa.clipkit	512	0.7003	0.7003	0.0519
65834at147550.aa.clipkit.FT.tre	65834at147550.aa.clipkit	648	0.7446	0.7446	0.0659
98025at147550.aa.clipkit.FT.tre	98025at147550.aa.clipkit	143	0.7116	0.7116	0.0033
81860at147550.aa.clipkit.FT.tre	81860at147550.aa.clipkit	292	0.7395	0.7395	0.1337
85774at147550.aa.clipkit.FT.tre	85774at147550.aa.clipkit	206	0.5954	0.5954	0.0159
78295at147550.aa.clipkit.FT.tre	78295at147550.aa.clipkit	242	0.5742	0.5742	0.0194
48488at147550.aa.clipkit.FT.tre	48488at147550.aa.clipkit	374	0.6583	0.6583	0.0144
7618at147550.aa.clipkit.FT.tre	7618at147550.aa.clipkit	1967	0.8615	0.8615	0.306
14775at147550.aa.clipkit.FT.tre	14775at147550.aa.clipkit	951	0.6757	0.6757	0.0282
102584at147550.aa.clipkit.FT.tre	102584at147550.aa.clipkit	431	0.7218	0.7218	0.1017
104385at147550.aa.clipkit.FT.tre	104385at147550.aa.clipkit	292	0.6848	0.6848	0.0412
6089at147550.aa.clipkit.FT.tre	6089at147550.aa.clipkit	1259	0.8297	0.8297	0.0639
50638at147550.aa.clipkit.FT.tre	50638at147550.aa.clipkit	432	0.6722	0.6722	0.0118
53711at147550.aa.clipkit.FT.tre	53711at147550.aa.clipkit	689	0.7802	0.7802	0.0635
72854at147550.aa.clipkit.FT.tre	72854at147550.aa.clipkit	562	0.7406	0.7406	0.0612
2826at147550.aa.clipkit.FT.tre	2826at147550.aa.clipkit	1618	0.8399	0.8399	0.2013
56318at147550.aa.clipkit.FT.tre	56318at147550.aa.clipkit	358	0.6248	0.6248	0.0057
75814at147550.aa.clipkit.FT.tre	75814at147550.aa.clipkit	334	0.7108	0.7108	0.0785
78522at147550.aa.clipkit.FT.tre	78522at147550.aa.clipkit	763	0.7629	0.7629	0.0546
104757at147550.aa.clipkit.FT.tre	104757at147550.aa.clipkit	411	0.7977	0.7977	0.3096
88105at147550.aa.clipkit.FT.tre	88105at147550.aa.clipkit	315	0.7622	0.7622	0.4028
98125at147550.aa.clipkit.FT.tre	98125at147550.aa.clipkit	259	0.7385	0.7385	0.0422
40074at147550.aa.clipkit.FT.tre	40074at147550.aa.clipkit	548	0.7939	0.7939	0.0971
43948at147550.aa.clipkit.FT.tre	43948at147550.aa.clipkit	1525	0.902	0.902	1.1162
16408at147550.aa.clipkit.FT.tre	16408at147550.aa.clipkit	787	0.7717	0.7717	0.1452
82458at147550.aa.clipkit.FT.tre	82458at147550.aa.clipkit	233	0.6789	0.6789	0.0213
9839at147550.aa.clipkit.FT.tre	9839at147550.aa.clipkit	1160	0.7828	0.7828	0.0504
14089at147550.aa.clipkit.FT.tre	14089at147550.aa.clipkit	865	0.7856	0.7856	0.0753
92981at147550.aa.clipkit.FT.tre	92981at147550.aa.clipkit	258	0.6205	0.6205	0.0238
85652at147550.aa.clipkit.FT.tre	85652at147550.aa.clipkit	412	0.7373	0.7373	0.1021
68532at147550.aa.clipkit.FT.tre	68532at147550.aa.clipkit	358	0.6325	0.6325	0.013
77547at147550.aa.clipkit.FT.tre	77547at147550.aa.clipkit	309	0.6743	0.6743	0.0352
41723at147550.aa.clipkit.FT.tre	41723at147550.aa.clipkit	503	0.6601	0.6601	0.0117
10458at147550.aa.clipkit.FT.tre	10458at147550.aa.clipkit	1268	0.7855	0.7855	0.0848
100863at147550.aa.clipkit.FT.tre	100863at147550.aa.clipkit	259	0.7002	0.7002	0.1241
74608at147550.aa.clipkit.FT.tre	74608at147550.aa.clipkit	428	0.7401	0.7401	0.1565
90099at147550.aa.clipkit.FT.tre	90099at147550.aa.clipkit	206	0.702	0.702	0.0062
44465at147550.aa.clipkit.FT.tre	44465at147550.aa.clipkit	471	0.6517	0.6517	0.0138
47574at147550.aa.clipkit.FT.tre	47574at147550.aa.clipkit	571	0.7549	0.7549	0.1239
48542at147550.aa.clipkit.FT.tre	48542at147550.aa.clipkit	526	0.7417	0.7417	0.0544
46255at147550.aa.clipkit.FT.tre	46255at147550.aa.clipkit	547	0.7301	0.7301	0.0436
65841at147550.aa.clipkit.FT.tre	65841at147550.aa.clipkit	598	0.6434	0.6434	0.0227
78253at147550.aa.clipkit.FT.tre	78253at147550.aa.clipkit	347	0.659	0.659	0.0241
73608at147550.aa.clipkit.FT.tre	73608at147550.aa.clipkit	298	0.6291	0.6291	0.0091
70291at147550.aa.clipkit.FT.tre	70291at147550.aa.clipkit	831	0.8604	0.8604	0.1012
58492at147550.aa.clipkit.FT.tre	58492at147550.aa.clipkit	516	0.6696	0.6696	0.0777
26228at147550.aa.clipkit.FT.tre	26228at147550.aa.clipkit	574	0.7136	0.7136	0.0162
73801at147550.aa.clipkit.FT.tre	73801at147550.aa.clipkit	967	0.8374	0.8374	0.1238
76651at147550.aa.clipkit.FT.tre	76651at147550.aa.clipkit	374	0.7795	0.7795	0.0422
83485at147550.aa.clipkit.FT.tre	83485at147550.aa.clipkit	358	0.6897	0.6897	0.0569
43308at147550.aa.clipkit.FT.tre	43308at147550.aa.clipkit	527	0.7379	0.7379	0.0275
45839at147550.aa.clipkit.FT.tre	45839at147550.aa.clipkit	653	0.727	0.727	0.0299
11863at147550.aa.clipkit.FT.tre	11863at147550.aa.clipkit	1513	0.8311	0.8311	0.4031
62298at147550.aa.clipkit.FT.tre	62298at147550.aa.clipkit	788	0.8291	0.8291	0.2984
91893at147550.aa.clipkit.FT.tre	91893at147550.aa.clipkit	650	0.8047	0.8047	0.1155
50282at147550.aa.clipkit.FT.tre	50282at147550.aa.clipkit	612	0.8124	0.8124	0.2641
18397at147550.aa.clipkit.FT.tre	18397at147550.aa.clipkit	787	0.7235	0.7235	0.0316
19349at147550.aa.clipkit.FT.tre	19349at147550.aa.clipkit	1978	0.9069	0.9069	0.8782
51893at147550.aa.clipkit.FT.tre	51893at147550.aa.clipkit	422	0.72	0.72	0.0301
34851at147550.aa.clipkit.FT.tre	34851at147550.aa.clipkit	627	0.72	0.72	0.0496
88429at147550.aa.clipkit.FT.tre	88429at147550.aa.clipkit	882	0.7724	0.7724	0.0821
52779at147550.aa.clipkit.FT.tre	52779at147550.aa.clipkit	642	0.7698	0.7698	0.106
40890at147550.aa.clipkit.FT.tre	40890at147550.aa.clipkit	445	0.6388	0.6388	0.0229
65833at147550.aa.clipkit.FT.tre	65833at147550.aa.clipkit	484	0.7004	0.7004	0.1143
82271at147550.aa.clipkit.FT.tre	82271at147550.aa.clipkit	317	0.7868	0.7868	0.3288
106216at147550.aa.clipkit.FT.tre	106216at147550.aa.clipkit	102	0.649	0.649	0.0211
73710at147550.aa.clipkit.FT.tre	73710at147550.aa.clipkit	268	0.646	0.646	0.0296
73948at147550.aa.clipkit.FT.tre	73948at147550.aa.clipkit	344	0.7319	0.7319	0.0481
5398at147550.aa.clipkit.FT.tre	5398at147550.aa.clipkit	2368	0.86	0.86	0.0962
42890at147550.aa.clipkit.FT.tre	42890at147550.aa.clipkit	998	0.8239	0.8239	0.1234
51485at147550.aa.clipkit.FT.tre	51485at147550.aa.clipkit	504	0.8059	0.8059	0.1449
74365at147550.aa.clipkit.FT.tre	74365at147550.aa.clipkit	360	0.6555	0.6555	0.0474
35774at147550.aa.clipkit.FT.tre	35774at147550.aa.clipkit	710	0.8229	0.8229	0.1051
59480at147550.aa.clipkit.FT.tre	59480at147550.aa.clipkit	458	0.6958	0.6958	0.039
28061at147550.aa.clipkit.FT.tre	28061at147550.aa.clipkit	974	0.7895	0.7895	0.0739
92228at147550.aa.clipkit.FT.tre	92228at147550.aa.clipkit	355	0.7928	0.7928	0.0945
100711at147550.aa.clipkit.FT.tre	100711at147550.aa.clipkit	164	0.6233	0.6233	0.019
62958at147550.aa.clipkit.FT.tre	62958at147550.aa.clipkit	854	0.7964	0.7964	0.1406
45384at147550.aa.clipkit.FT.tre	45384at147550.aa.clipkit	470	0.6599	0.6599	0.0362
93358at147550.aa.clipkit.FT.tre	93358at147550.aa.clipkit	218	0.6048	0.6048	0.0341
107303at147550.aa.clipkit.FT.tre	107303at147550.aa.clipkit	272	0.7307	0.7307	0.1075
49480at147550.aa.clipkit.FT.tre	49480at147550.aa.clipkit	397	0.7028	0.7028	0.0367
86544at147550.aa.clipkit.FT.tre	86544at147550.aa.clipkit	323	0.7083	0.7083	0.0486
