TREE	ALN	ALNLEN	mean_BSS	median_BSS	evoRate
41139at147550.cds.clipkit.FT.tre	41139at147550.cds.clipkit	3999	0.7623	0.7623	0.048
49940at147550.cds.clipkit.FT.tre	49940at147550.cds.clipkit	2412	0.8618	0.8618	0.0576
106694at147550.cds.clipkit.FT.tre	106694at147550.cds.clipkit	462	0.6152	0.6152	0.0156
32959at147550.cds.clipkit.FT.tre	32959at147550.cds.clipkit	2175	0.8134	0.8134	0.0497
107733at147550.cds.clipkit.FT.tre	107733at147550.cds.clipkit	2976	0.8637	0.8637	0.0867
30747at147550.cds.clipkit.FT.tre	30747at147550.cds.clipkit	3708	0.8896	0.8896	0.3785
39691at147550.cds.clipkit.FT.tre	39691at147550.cds.clipkit	1923	0.8481	0.8481	0.0397
54129at147550.cds.clipkit.FT.tre	54129at147550.cds.clipkit	4719	0.853	0.853	0.0961
103219at147550.cds.clipkit.FT.tre	103219at147550.cds.clipkit	852	0.7397	0.7397	0.0076
35299at147550.cds.clipkit.FT.tre	35299at147550.cds.clipkit	2955	0.8662	0.8662	0.0394
59396at147550.cds.clipkit.FT.tre	59396at147550.cds.clipkit	3675	0.8339	0.8339	0.0346
109297at147550.cds.clipkit.FT.tre	109297at147550.cds.clipkit	546	0.6391	0.6391	0.0159
59639at147550.cds.clipkit.FT.tre	59639at147550.cds.clipkit	2160	0.8339	0.8339	0.049
38894at147550.cds.clipkit.FT.tre	38894at147550.cds.clipkit	3072	0.7893	0.7893	0.0477
51838at147550.cds.clipkit.FT.tre	51838at147550.cds.clipkit	2217	0.8623	0.8623	0.0741
53171at147550.cds.clipkit.FT.tre	53171at147550.cds.clipkit	2688	0.8222	0.8222	0.0524
106968at147550.cds.clipkit.FT.tre	106968at147550.cds.clipkit	600	0.7498	0.7498	0.0466
59910at147550.cds.clipkit.FT.tre	59910at147550.cds.clipkit	1593	0.8206	0.8206	0.0316
39133at147550.cds.clipkit.FT.tre	39133at147550.cds.clipkit	5511	0.8932	0.8932	0.1486
